"","TimeStamp","Enlem(N)","Boylam(E)","Derinlik(km)","MD","ML","Mw","Yer","Çözüm Niteligi"
"141","2020.12.15 19:48:49","38.8322"," 38.1533","5.0","-.-","1.9","-.-"," ARMUTLU-ARGUVAN (MALATYA)"," Ilksel"
"142","2020.12.15 18:38:04","37.8023"," 26.4373","5.0","-.-","2.0","-.-"," ONIKI ADALAR (AKDENIZ)","Ilksel"
"143","2020.12.15 18:33:19","37.7780"," 27.1665"," 21.7","-.-","1.5","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"144","2020.12.15 17:52:04","40.1632"," 31.6978"," 12.2","-.-","1.9","-.-"," ULUKOY-NALLIHAN (ANKARA)","Ilksel"
"145","2020.12.15 16:22:56","40.6028"," 29.0025","6.7","-.-","1.7","-.-"," SENKOY-CINARCIK (YALOVA)","Ilksel"
"146","2020.12.15 14:17:14","39.9247"," 39.2030","7.7","-.-","2.9","2.8"," KOCYATAGI-(ERZINCAN)","Ilksel"
"147","2020.12.15 12:39:50","37.8642"," 26.8235"," 18.9","-.-","2.5","-.-"," EGE DENIZI","Ilksel"
"148","2020.12.15 11:23:44","37.1317"," 36.8928"," 19.7","-.-","1.6","-.-"," ATAKOY-NURDAGI (GAZIANTEP)","Ilksel"
"149","2020.12.15 11:18:26","37.7817"," 27.1350","5.3","-.-","1.8","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"150","2020.12.15 10:38:31","39.6577"," 27.8658","4.2","-.-","2.4","-.-"," BALIKESIR (BALIKESIR)"," Ilksel"
"151","2020.12.15 09:41:51","40.6510"," 29.0452","5.4","-.-","2.5","-.-"," KOCADERE-CINARCIK (YALOVA)","Ilksel"
"152","2020.12.15 08:03:14","37.9173"," 26.7962"," 16.3","-.-","1.9","-.-"," EGE DENIZI","Ilksel"
"153","2020.12.15 07:56:42","38.8487"," 26.9082","8.8","-.-","1.9","-.-"," CANDARLI KORFEZI (EGE DENIZI)"," Ilksel"
"154","2020.12.15 07:46:53","37.8343"," 26.8718"," 23.5","-.-","1.9","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"155","2020.12.15 07:30:14","40.3325"," 27.5448"," 13.6","-.-","2.1","-.-"," CIFTECESMELER-GONEN (BALIKESIR)"," Ilksel"
"156","2020.12.15 07:17:50","37.8180"," 26.8313"," 10.4","-.-","2.2","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"157","2020.12.15 07:11:53","37.7960"," 26.8840","8.7","-.-","2.3","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"158","2020.12.15 07:08:04","37.7977"," 26.4600"," 13.0","-.-","1.9","-.-"," ONIKI ADALAR (AKDENIZ)","Ilksel"
"159","2020.12.15 07:02:47","37.8203"," 26.9478"," 10.9","-.-","1.8","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
